original_title,cast,director,is_novel_based,runtime,genres,production_companies,release_month,release_year,budget_adj,revenue_adj,profit
Bridgend,Hannah Murray|Steven Waddington|Adrian Rawlins|Josh O'Connor|Patricia Potter,Jeppe RÃ¸nde,no,95.0,Drama,Blenkov & SchÃ¸nnemann Pictures|Four Sons Pictures,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
Backcountry,Missy Peregrym|Jeff Roop|Eric Balfour|Nicholas Campbell,Adam MacDonald,no,92.0,Drama,TÃ©lÃ©film Canada|Fella Films|Northern Ontario Heritage Fund,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
An Inspector Calls,David Thewlis|Miranda Richardson|Ken Stott|Sophie Rundle|Kyle Soller,Aisling Walsh,no,86.0,Drama,BBC,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Survivalist,Mia Goth|Martin McCann|Olwen FouÃ©rÃ©|Barry Ward|Andrew Simpson,Stephen Fingleton,no,104.0,Drama,"K5 International|British Film Institute (BFI)|Northern Ireland Screen|The Fyzz Facility|Fyzz Facility Film One, The",4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Back in Time,Lea Thompson|Michael J. Fox|Christopher Lloyd|Robert Zemeckis|Dan Harmon,Jason Aron,no,95.0,History,Malka Media Group,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Nina Forever,Abigail Hardingham|Cian Barry|Fiona O'Shaughnessy|David Troughton|Elizabeth Elvin,Ben Blaine|Chris Blaine,no,98.0,Horror,Charlie Productions|Casualties Bureau|Jeva Films,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Some Kind Of Hate,Grace Phipps|Sierra McCormick|Lexi Atkins|Spencer Breslin|Noah Segan,Adam Egypt Mortimer,no,82.0,Horror,Caliber Media Company|Revek Entertainment,5,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Dead Room,Jed Brophy|Jeffrey Thomas|Laura Petersen,Jason Stutter,no,80.0,Horror,Centron Pictures,10,2015,919999.0,63624403.5851604,62704404.5851604
From the Dark,Niamh Algar|Stephen Cromwell|Gerry O'Brien|Ged Murray,Conor McMahon,no,90.0,Horror,MPI Pictures,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
My All American,Aaron Eckhart|Finn Wittrock|Robin Tunney|Sarah Bolger|Michael Reilly Burke,Angelo Pizzo,no,118.0,Drama,Paul Schiff Productions|Anthem Productions,11,2015,18399991.0,63624403.5851604,45224412.5851604
Hangman,Jeremy Sisto|Kate Ashfield|Ty Simpkins|Ryan Simpkins|Amy Smart,Adam Mason,no,85.0,Thriller,Hiding in the Attic,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Grandma,Lily Tomlin|Julia Garner|Marcia Gay Harden|Judy Greer|Laverne Cox,Paul Weitz,no,78.0,Drama,Depth of Field|1821 Pictures,6,2015,551999.0,6520452.0,5968453.0
Summer Camp,Maiara Walsh|Diego Boneta|Jocelin Donahue|AndrÃ©s Velencoso|Ã€lex Monner,Alberto Marini,no,81.0,Horror,Filmax Group|Castelao Pictures|Somnium Films,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Backmask,Stephen Lang|Kelly Blatz|Brittany Curran|Gage Golightly|Nick Nicotera,Marcus Nispel,no,91.0,Thriller,GO Productions|Vicarious Entertainment|Bloodline Productions|Shallow Focus,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
Already Tomorrow in Hong Kong,Jamie Chung|Bryan Greenberg|Richard Ng|Sarah Lian|Ines Laimins,Emily Ting,no,78.0,Romance,Unbound Feet Productions,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
Curve,Julianne Hough|Teddy Sears|Madalyn Horcher|Drew Rausch|Penelope Mitchell,Iain Softley,no,86.0,Horror,Universal Pictures|Blumhouse Productions|LBI Entertainment|Ombra Films,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Cyberbully,Maisie Williams|Ella Purnell|Haruka Abe|Jake Davies|Wilson Haagens,Ben Chanan,no,62.0,Drama,Raw TV,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
He Named Me Malala,Malala Yousafzai|Ziauddin Yousafzai|Toor Pekai Yousafzai|Khushal Yousafzai|Atal Yousafzai,Davis Guggenheim,no,87.0,Documentary,Participant Media|Imagenation Abu Dhabi FZ|Parkes+MacDonald Image Nation,9,2015,21307490.712324023,2431466.0,-18876024.712324023
The Driftless Area,Zooey Deschanel|Aubrey Plaza|Anton Yelchin|Alia Shawkat|CiarÃ¡n Hinds,Zachary Sluser,no,95.0,Romance,Unified Pictures|Bron Studios,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Do You Believe?,Mira Sorvino|Sean Astin|Alexa PenaVega|Cybill Shepherd,Jonathan M. Gunn,no,115.0,Fantasy,Believe Entertainment|Pure Flix Entertainment|Toy Gun Films|10 West Studios,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
7 Days in Hell,Andy Samberg|Kit Harington|Jon Hamm|Michael Sheen|Karen Gillan,Jake Szymanski,no,43.0,TV Movie,HBO Films,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Teen Beach 2,Ross Lynch|Maia Mitchell|Grace Phipps|Garrett Clayton|John DeLuca,Jeffrey Hornaday,no,104.0,Comedy,Disney Channel,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
Full Out,Ana Golja|Jennifer Beals|Ashanti Bromfield|Trevor Tordjman|Jake Epstein,Sean Cisterna,no,94.0,History,Carmel Creek Productions,9,2015,1379999.0,63624403.5851604,62244404.5851604
Narcopolis,Elliot Cowan|Elodie Yung|Jonathan Pryce|Robert Bathurst|James Callis,Justin Trefgarne,no,96.0,Thriller,T Squared Film,9,2015,1379999.0,63624403.5851604,62244404.5851604
Staten Island Summer,Graham Phillips|Zack Pearlman|Ashley Greene|Kate Walsh|Gina Gershon,Rhys Thomas,no,108.0,Comedy,Paramount Pictures,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Reconstruction of William Zero,Conal Byrne|Amy Seimetz|Tim Habeger|Adam Fristoe|Scott Poythress,Dan Bush,no,98.0,Science Fiction,FilmBuff|Floren Shieh Productions,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Queen of Earth,Elisabeth Moss|Katherine Waterston|Patrick Fugit|Kate Lyn Sheil|Kentucker Audley,Alex Ross Perry,no,90.0,Drama,Washington Square Films,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
"What Happened, Miss Simone?",Nina Simone|Lisa Simone Kelly|Dick Gregory|Stanley Crouch|Elisabeth Henry-Macari,Liz Garbus,no,101.0,Documentary,NetFlix|Radical Media,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Eichmann Show,Anthony LaPaglia|Martin Freeman|Rebecca Front|Andy Nyman|Nicholas Woodeson,Paul Andrew Williams,no,90.0,Drama,Feelgood Fiction|Baltic Film Services|Vistaar Religare Film Fund,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Diabolical,Ali Larter|Merrin Dungey|Patrick Fischler|Arjun Gupta|Joe Egender,Alistair Legrand,no,86.0,Horror,Campfire LLC,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Last Cab to Darwin,Michael Caton|Jacki Weaver|Emma Hamilton|Ningali Lawford|Brian Taylor,Jeremy Sims,no,124.0,Comedy,Last Cab Productions,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Intruders,Beth Riesgraf|Martin Starr|Jack Kesy|Rory Culkin|Leticia Jimenez,Adam Schindler,no,90.0,Drama,Room 101|Vicarious Entertainment|Campbell Grobman Films|Jeff Rice Films|Black Fish Films,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
Infini,Daniel MacPherson|Grace Huang|Luke Hemsworth|Bren Foster|Luke Ford,Shane Abbess,no,110.0,Horror,Storm Vision Entertainment|Eclectik Vision|Storm Alley Entertainment,5,2015,21307490.712324023,63624403.5851604,42316912.872836374
Muck,Lachlan Buchanan|Puja Mohindra|Bryce Draper|Stephanie Danielsen|Laura Jacobs,Steve Wolsh,no,99.0,Horror,WithanO Productions|Universal Studios Sound Facilities,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Bravetown,Josh Duhamel|Maria Bello|Laura Dern|Katrina Norman|Lucas Till,Daniel Duran,no,112.0,Drama,Strings of Films|2 Wolves Films,5,2015,21307490.712324023,63624403.5851604,42316912.872836374
Taylor Swift: The 1989 World Tour - Live,Taylor Swift|Ellen DeGeneres|Cara Delevingne|Lena Dunham|Selena Gomez,Jonas Ã…kerlund,no,132.0,Documentary,Apple Inc.,12,2015,21307490.712324023,63624403.5851604,42316912.872836374
Ghoul,Jennifer Armour|Jeremy Isabella|Paus S. Tracey,Petr JÃ¡kl Jr.,no,86.0,Thriller,J.B.J Film,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
Deep Web,Gavin Andresen|Ross Ulbricht|Cody Wilson|Keanu Reeves,Alex Winter,no,90.0,Documentary,Epix|Trouper Productions|BOND360,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
A LEGO Brickumentary,Jason Bateman|Matthias Klie,Kief Davidson|Daniel Junge,no,93.0,Documentary,Global Emerging Markets (GEM)|HeLo,7,2015,597999.0,63624403.5851604,63026404.5851604
Richard Pryor: Omit the Logic,Mel Brooks|Dave Chappelle|Mike Epps|Whoopi Goldberg|Robin Williams,Marina Zenovich,no,83.0,Documentary,"Fresh One Productions|Tarnished Angel, Inc|Club 55 Productions",2,2015,21307490.712324023,63624403.5851604,42316912.872836374
Don Verdean,Sam Rockwell|Jemaine Clement|Amy Ryan|Danny McBride|Will Forte,Jared Hess,no,96.0,Comedy,Lions Gate Films,12,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Editor,Paz de la Huerta|Samantha Hill|Laurence R. Harvey|Adam Brooks|Matthew Kennedy,Adam Brooks|Matthew Kennedy,no,95.0,Mystery,Astron-6 Video International|Tele-Film,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
June,Casper Van Dien|Victoria Pratt|Addy Miller|Eddie Jemison|Aiden Flowers,L. Gustavo Cooper,no,84.0,Science Fiction,Raven Banner Entertainment|De Angeles Films,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Smosh: The Movie,Anthony Padilla|Ian Hecox|Shane Dawson|Mark Edward Fischbach|Jillian Nelson,Alex Winter,no,84.0,Comedy,Awesomeness Films,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Keepers of the Covenant: Making Exodus: Gods and Kings,Ridley Scott|Christian Bale|Joel Edgerton|Peter Chiang|Alberto Iglesias,Charles de Lauzirika,no,153.0,Documentary,20th Century Fox|Lauzirika Motion Picture Company,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Quiet Hour,Dakota Blue Richards|Karl Davies|Jack McMullen|Brigitte Millar|Zeb Moore,StÃ©phanie Joalland,no,85.0,Drama,Vision Films|Frenzy Films,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Results,Cobie Smulders|Guy Pearce|Kevin Corrigan|Giovanni Ribisi|Brooklyn Decker,Andrew Bujalski,no,105.0,Comedy,Burn Later Productions|Houston King Productions,5,2015,21307490.712324023,96146.0,-21211344.712324023
Addicted to Fresno,Judy Greer|Aubrey Plaza|Natasha Lyonne|Clea DuVall|Ron Livingston,Jamie Babbit,no,85.0,Comedy,Andrea Sperling Productions|Lakeview Productions|Gamechanger Films|Leeden Media|TALU Productions,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Listening,Thomas Stroppel|Artie Ahr|Amber Marie Bollinger|Christine Haeberman|Steve Hanks,Khalil Sullins,no,100.0,Drama,Young Medium|Listen Film,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Jack of the Red Hearts,AnnaSophia Robb|Famke Janssen|Scott Cohen|Israel Broussard|Taylor Richardson,Janet Grillo,no,102.0,Drama,Sundial Pictures,5,2015,21307490.712324023,63624403.5851604,42316912.872836374
Bound,Charisma Carpenter|Bryce Draper|Daniel Baldwin|Morgan Obenreder|Michael Monks,Jared Cohn,no,90.0,Thriller,The Asylum,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
Re-Kill,Roger R. Cross|Scott Adkins|Daniella Alonso|Bruce Payne|Jesse Garcia,Valeri Milev,no,87.0,Horror,Signature Pictures|After Dark Films|Midsummer Films,10,2015,8739996.0,63624403.5851604,54884407.5851604
A Hitman in London,Mickey Rourke|Daryl Hannah|Eric Roberts|Michael Madsen|Dominique Swain,Ara Paiaya,no,97.0,Crime,Raging Pictures,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Regular Show: The Movie,J.G. Quintel|Mark Hamill|Sam Marin|William Salyers|David Koechner,J.G. Quintel,no,70.0,Comedy,Cartoon Network Studios,9,2015,2759998.0,63624403.5851604,60864405.5851604
If There Be Thorns,Heather Graham|Jason Lewis|Rachael Carpani|Mason Cook|Emily Tennant,Nancy Savoca,no,103.81513962612509,TV Movie,A+E Studios|Jane Startz Productions,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
To Write Love on Her Arms,Kat Dennings|Chad Michael Murray|Rupert Friend|Corbin Bleu|Mark Saul,Nathan Frankowski,no,118.0,Drama,Two Streets Entertainment|Birchwood Pictures|Noble Pictures|Valencia Motion Pictures,3,2015,3127998.0,63624403.5851604,60496405.5851604
War Room,Priscilla C. Shirer|T.C. Stallings|Karen Abercrombie|Beth Moore|Michael Jr.,Alex Kendrick,no,120.0,Drama,Provident Films|Affirm Films|Kendrick Brothers Productions,8,2015,2759998.0,62366880.0,59606882.0
A Deadly Adoption,Will Ferrell|Kristen Wiig|Jessica Lowndes|Jake Weary|Alyvia Alyn Lind,Rachel Goldenberg,no,90.0,Drama,Gary Sanchez Productions|Marvista Entertainment|National Picture Show Entertainment,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
Ellis,Robert De Niro,JR,no,14.0,Drama,Unframed USA,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Coconut Hero,Alex Ozerov|Bea Santos|Krista Bridges|Sebastian Schipper|Udo Kier,Florian Cossen,no,101.0,Comedy,Hessischer Rundfunk (HR)|UFA Fiction|Six Island Productions,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Janis: Little Girl Blue,Janis Joplin|Cat Power|D.A. Pennebaker|Dick Cavett|Peter Albin,Amy Berg,no,106.0,Documentary,Jigsaw Productions|Disarming Films,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Inhabitants,Elise Couture|Michael Reed|India Pearl|Edmund Donovan|Erica Derrickson,Shawn Rasmussen|Michael Rasmussen,no,90.0,Thriller,Sinister Siblings Films|Lascaux Media,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Amy Schumer: Live at the Apollo,Amy Schumer,Chris Rock,no,57.0,Comedy,Home Box Office (HBO),10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Glassland,Jack Reynor|Toni Collette|Will Poulter|Michael Smiley,Gerard Barrett,no,93.0,Drama,Element Pictures,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Whitney,Yaya DaCosta|Arlen Escarpeta|Yolanda Ross|Mark Rolston|Suzzanne Douglas,Angela Bassett,no,90.0,Romance,Silver Screen Pictures|Sanitsky Company,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
Keith Richards: Under the Influence,Keith Richards|Tom Waits|Steve Jordan|Waddy Wachtel|Buddy Guy,Morgan Neville,no,82.0,Music,Netflix,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Landmine Goes Click,Sterling Knight|Spencer Locke|Dean Geyer|Kote Tolordava|Giorgi Tsaava,Levan Bakhia,no,110.0,Action,Scatena & Rosner Films|Sarke Studio|Imedi Films,3,2015,919999.0,63624403.5851604,62704404.5851604
Hellions,Chloe Rose|Robert Patrick|Rossif Sutherland|Rachel Wilson|Luke Bilyk,Bruce McDonald,no,80.0,Horror,Whizbang Films|Storyteller Pictures,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Strange Blood,Robert Brettenaugh|Alexandra Bard|James Adam Lim|Scott Harders|Anna Harr,Chad Michael Ward,no,84.0,Science Fiction,Compound B,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Jurassic City,Ray Wise|Kevin Gage|Dana Melanie|Kayla Carlyle|Vernon Wells,Sean Cain,no,88.0,Action,Little Dragon Productions,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
All Things Must Pass,Dave Grohl|Elton John|Bruce Springsteen|Chris Cornell|Ahmir-Khalib Thompson,Colin Hanks,no,94.0,Documentary,Company Name,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Capsule,Edmund Kingsley|David Wayman|Nigel Barber|Lisa Greenwood|Gil Kolirin,Andrew Martin,no,91.0,Drama,Ecaveo Capital Partners|Hermes Space Industries,12,2015,1195999.0,63624403.5851604,62428404.5851604
Tangerine,Kitana Kiki Rodriguez|Mya Taylor|Karren Karagulian|Mickey O'Hagen|James Ransone,Sean Baker,no,87.0,Comedy,Duplass Brothers Productions|Through Films,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Power/Rangers,Katee Sackhoff|James Van Der Beek|Russ Bain|Will Yun Lee|Gichi Gamba,Joseph Kahn,no,14.0,Action,Adi Shankar Production,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
Appropriate Behavior,Desiree Akhavan|Rebecca Henderson|Halley Feiffer|Scott Adsit|Anh Duong,Desiree Akhavan,no,90.0,Romance,Parkville Pictures,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
"Kumiko, the Treasure Hunter",Rinko Kikuchi|Nobuyuki Katsube|Shirley Venard|David Zellner|Nathan Zellner,David Zellner,no,105.0,Drama,Ad Hominem Enterprises|Lila 9th Productions,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Barber,Scott Glenn|Stephen Tobolowsky|Kristen Hager|Chris Coy|Max Arciniega,Basel Owies,no,95.0,Thriller,Chapman Filmed Entertainment,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Soaked in Bleach,Kurt Cobain|Daniel Roebuck|Sarah Scott|August Emerson|Kurt Loder,Benjamin Statler,no,100.0,Music,Valiant|DareDevil Films|Vimeo,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
And Then There Were None,Maeve Dermody|Aidan Turner|Charles Dance|Douglas Booth|Sam Neill,Craig Viveiros,yes,168.0,Mystery,British Broadcasting Corporation (BBC)|Mammoth Screen|A&E Television Networks|Agatha Christie Ltd|Acorn Productions,12,2015,21307490.712324023,63624403.5851604,42316912.872836374
Bloodsucking Bastards,Fran Kranz|Pedro Pascal|Joey Kern|Joel Murray|Emma Fitzpatrick,Brian James O'Connell,no,84.0,Comedy,Fortress Features|MTY Productions,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Comedy Central Roast of Justin Bieber,Kevin Hart|Justin Bieber|Will Ferrell|Chris D'Elia|Natasha Leggero,Joel Gallen,no,85.0,Comedy,Comedy Central|Tenth Planet Productions,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Listen to Me Marlon,Marlon Brando,Stevan Riley,no,103.0,Documentary,Passion Pictures|Cutler Productions,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Big Sky,Bella Thorne|Kyra Sedgwick|Frank Grillo|Aaron Tveit|FranÃ§ois Arnaud,Jorge Michel Grau,no,95.0,Thriller,Manis Film|Papagjika Salloway Productions,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Ominous,Barry Watson|EsmÃ© Bianco|Gavin Lewis|Mark Lindsay Chapman|Eric Etebari,Peter Sullivan,no,87.0,Horror,Hybrid,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Call Me Lucky,Barry Crimmins|David Cross|Patton Oswalt|Tom Kenny|Margaret Cho,Bobcat Goldthwait,no,106.0,Documentary,Type 55 Films,8,2015,21307490.712324023,63624403.5851604,42316912.872836374
Anguish,Ryan Simpkins|Annika Marks|Karina Logue|Amberley Gridley|Cliff Chamberlain,Sonny Mallhi,no,91.0,Horror,Lightning Entertainment|Candlewood Entertainment|Anguish Film,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Digging Up the Marrow,Ray Wise|Adam Green|Kane Hodder|Mick Garris|Rileah Vanderbilt,Adam Green,no,98.0,Thriller,ArieScope Pictures,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
They Found Hell,Chris Schellenger|Katy Reece|Austin Scott|Kabby Borders|Mirela Burke,Nick Lyon,no,90.0,Horror,Cinetel Films,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Junun,Shye Ben Tzur|Ehtisham Khan Ajmeri|Gufran Ali|Shazib Ali|Sabir Bamami,Paul Thomas Anderson,no,54.0,Music,Ghoulardi Film Company,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Flintstones & WWE: Stone Age Smackdown,Jeff Bergman|Kevin Michael Richardson|Tress MacNeille|John O'Hurley|John Cena,Spike Brandt|Tony Cervone,no,52.0,Animation,Warner Bros. Animation|Hanna-Barbera|WWE Studios,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
Chris Tucker: Live,Chris Tucker,Phil Joanou,no,92.0,Comedy,NetFlix,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
VANish,Maiara Walsh|Tony Todd|Danny Trejo|Austin Abke|Bryan Bockbrader,Bryan Bockbrader,no,79.0,Crime,Grizly Films,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
Harry Price: Ghost Hunter,Rafe Spall|Cara Theobold|Tom Ward|Sophie Stanton|Zoe Boyle,Alex Pillai,yes,90.0,Drama,Bentley Productions,12,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Audition,Leonardo DiCaprio|Brad Pitt|Robert De Niro|Martin Scorsese|Rodrigo Prieto,Martin Scorsese,no,16.0,Comedy,RatPac Entertainment|Melco-Crown Entertainment (MCE),10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Louis C.K.: Live at The Comedy Store,Louis C.K.,Louis C.K.,no,65.0,Comedy,Pig Newton,1,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Wolfpack,Bhagavan Angulo|Govinda Angulo|Jagadisa Angulo|Narayana Angulo|Krsna Angulo,Crystal Moselle,no,89.0,Documentary,Verisimilitude|Kotva Films,6,2015,21307490.712324023,1197559.0,-20109931.712324023
Bleeding Heart,Zosia Mamet|Jessica Biel|Joe Anderson|Edi Gathegi|Kate Burton,Diane Bell,no,80.0,Drama,Super Crispy Entertainment|Fido Features,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Requiem for the American Dream,Noam Chomsky,Jared P. Scott|Peter D. Hutchison|Kelly Nyks,no,73.0,Documentary,PF Pictures|Naked City Films,4,2015,21307490.712324023,41119.0,-21266371.712324023
3 Nights in the Desert,Amber Tamblyn|Wes Bentley|Vincent Piazza,Gabriel Cowan,no,90.0,Drama,New Artists Alliance|Caliber Media Company,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
The House on Pine Street,Emily Goss|Taylor Bottles|Cathy Barnett|Jim Korinke|Natalie Pellegrini,Aaron Keeling|Austin Keeling,no,111.0,Drama,E3W Productions,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
Welcome to Leith,Craig Cobb,Christopher K. Walker|Michael Beach Nichols,no,85.0,Thriller,Sundial Pictures|No Weather Productions|The Cinemart,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
Stonewall,Jeremy Irvine|Jonny Beauchamp|Jonathan Rhys Meyers|Ron Perlman|Caleb Landry Jones,Roland Emmerich,no,129.0,Drama,Centropolis Entertainment|Mel's Cite du Cinema,9,2015,12419994.0,172660.0,-12247334.0
Contracted: Phase II,Matt Mercer|Marianna Palka|Morgan Peter Brown|Anna Lore|Laurel Vail,Josh Forbes,no,78.0,Drama,BoulderLight Pictures,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Penis Boy,Collin Blackard|Kate McLeod|Alfred Rosenblatt|Jon Necaj,James Healey,no,18.0,Comedy,Island 23 Films,10,2015,9.0,63624403.5851604,63624394.5851604
Tig,Tig Notaro|Stephanie Allynne|Zach Galifianakis|Sarah Silverman|Kyle Dunnigan,Kristina Goolsby|Ashley York,no,95.0,Documentary,Beachside Films,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
Hurricane of Fun: The Making of Wet Hot,Amy Poehler|David Wain|Molly Shannon|Ken Marino|David Hyde Pierce,Amy Rice,no,64.0,Documentary,Matador Films|Netflix,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Gascoigne,Paul Gascoigne|Vinnie Jones|Gary Lineker|Diego Maradona Jr.|JosÃ© Mourinho,Jane Preston,no,90.0,Documentary,Salon Pictures,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
Best of Enemies,Gore Vidal|William F. Buckley|Kelsey Grammer|John Lithgow|Dick Cavett,Robert Gordon|Morgan Neville,no,87.0,Documentary,Motto Pictures|Tremolo Productions|Media Ranch,7,2015,919999.0,63624403.5851604,62704404.5851604
Vendetta,Dean Cain|Kyra Zagorsky|Benjamin Hollingsworth|Paul Wight|Michael Eklund,Jen Soska|Sylvia Soska,no,90.0,Action,WWE Studios,6,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Subjects,Paul O'Brien|Charlotte Nicdao|Emily Wheaton|Spencer McLaren|Paul Henri,Robert Mond,no,80.0,Thriller,Instinct Entertainment,10,2015,21307490.712324023,63624403.5851604,42316912.872836374
Walking with the Dead,Tim Ogletree|Joey Oglesby|Dave Sheridan|Troy Ogletree|Sophia Taylor Ali,Scott Dow,no,90.0,Science Fiction,Splendid Film,3,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Outskirts,Victoria Justice|Eden Sher|Ashley Rickards|Avan Jogia|Peyton List,Peter Hutchings,no,95.0,Comedy,BCDF Pictures,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Twinsters,Anais Bordier|Samantha Futerman|Kanoa Goo,Samantha Futerman|Ryan Miyamoto,no,90.0,Family,Small Package Films,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Jinx: The Life and Deaths of Robert Durst,Robert Durst|Andrew Jarecki|Marc Smerling|Zachary Stuart-Pontier|Lynda Obst,Andrew Jarecki,no,240.0,Documentary,Blumhouse Productions|Hit the Ground Running Films,2,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Curse of Downers Grove,Bella Heathcote|Lucas Till|Helen Slater|Penelope Mitchell|Mark L. Young,Derick Martini,no,89.0,Thriller,Myriad Pictures|AliBella Pictures|Bystander Films|Management Production Entertainment (MPE)|Mangrove Media,8,2015,1839999.0,63624403.5851604,61784404.5851604
King Jack,Charlie Plummer|Cory Nichols|Christian Madsen|Danny Flaherty|Erin Davies,Felix Thompson,no,81.0,Drama,Whitewater Films|Stink Films|Buffalo Picture House,4,2015,21307490.712324023,63624403.5851604,42316912.872836374
The Suicide Theory,Leon Cain|Steve Mazoukis,Dru Brown,no,98.0,Drama,Seven8 Media,7,2015,21307490.712324023,63624403.5851604,42316912.872836374
Buzzard,Joshua Burge|Joel Potrykus|Teri Ann Nelson|Joe Anderson|Alan Longstreet,Joel Potrykus,no,97.0,Horror,Sob Noisse Movies,3,2015,21307490.712324023,12589.0,-21294901.712324023
The Gamechangers,Daniel Radcliffe|Bill Paxton|Joe Dempsie,Owen Harris,no,90.0,Drama,BBC Films|British Broadcasting Corporation (BBC)|BBC Scotland,9,2015,21307490.712324023,63624403.5851604,42316912.872836374
John Mulaney: The Comeback Kid,John Mulaney,Rhys Thomas,no,62.0,Comedy,3 Arts Entertainment|Irwin Entertainment,11,2015,21307490.712324023,63624403.5851604,42316912.872836374
Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,Christopher Nolan,no,169.0,Adventure,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,11,2014,151980023.0,572690645.0,420710622.0
